[INFO] [1695910151.954945, 0.000000]: Waiting for clock
[INFO] [1695910159.074706, 1539699406.112955]: Listening to frames and computing error, press Ctrl-C to stop
[INFO] [1695910159.259569, 1539699406.304937]: Error (in mm): 64.12
[INFO] [1695910159.262901, 1539699406.304937]: Error (in mm): 64.10
[INFO] [1695910159.269321, 1539699406.315003]: Error (in mm): 64.10
[INFO] [1695910159.271290, 1539699406.315003]: Error (in mm): 64.08
[INFO] [1695910159.279384, 1539699406.325098]: Error (in mm): 64.08
[INFO] [1695910159.281868, 1539699406.325098]: Error (in mm): 64.08
[INFO] [1695910159.289366, 1539699406.335166]: Error (in mm): 1.77
[INFO] [1695910159.291339, 1539699406.335166]: Error (in mm): 1.77
[INFO] [1695910159.299793, 1539699406.345240]: Error (in mm): 1.77
[INFO] [1695910159.302201, 1539699406.345240]: Error (in mm): 1.77
[INFO] [1695910159.309744, 1539699406.355319]: Error (in mm): 1.77
[INFO] [1695910159.311793, 1539699406.355319]: Error (in mm): 1.77
[INFO] [1695910159.319499, 1539699406.365382]: Error (in mm): 1.76
[INFO] [1695910159.321791, 1539699406.365382]: Error (in mm): 1.76
[INFO] [1695910159.329694, 1539699406.375455]: Error (in mm): 1.76
[INFO] [1695910159.331452, 1539699406.375455]: Error (in mm): 1.76
[INFO] [1695910159.339776, 1539699406.385520]: Error (in mm): 1.76
[INFO] [1695910159.342116, 1539699406.385520]: Error (in mm): 1.76
[INFO] [1695910159.349900, 1539699406.395570]: Error (in mm): 1.76
[INFO] [1695910159.351913, 1539699406.395570]: Error (in mm): 1.76
[INFO] [1695910159.359943, 1539699406.405637]: Error (in mm): 1.76
[INFO] [1695910159.362164, 1539699406.405637]: Error (in mm): 1.76
[INFO] [1695910159.370160, 1539699406.415705]: Error (in mm): 1.76
[INFO] [1695910159.371781, 1539699406.415705]: Error (in mm): 1.76
[INFO] [1695910159.380305, 1539699406.425799]: Error (in mm): 1.76
[INFO] [1695910159.382639, 1539699406.425799]: Error (in mm): 1.76
[INFO] [1695910159.390416, 1539699406.435894]: Error (in mm): 1.76
[INFO] [1695910159.392900, 1539699406.435894]: Error (in mm): 1.76
[INFO] [1695910159.400185, 1539699406.445962]: Error (in mm): 1.76
[INFO] [1695910159.402418, 1539699406.445962]: Error (in mm): 1.77
[INFO] [1695910159.410463, 1539699406.456045]: Error (in mm): 1.77
[INFO] [1695910159.412514, 1539699406.456045]: Error (in mm): 1.77
[INFO] [1695910159.420186, 1539699406.466106]: Error (in mm): 1.76
[INFO] [1695910159.422207, 1539699406.466106]: Error (in mm): 1.76
[INFO] [1695910159.430677, 1539699406.476173]: Error (in mm): 1.76
[INFO] [1695910159.432503, 1539699406.476173]: Error (in mm): 1.76
[INFO] [1695910159.440411, 1539699406.486238]: Error (in mm): 1.76
[INFO] [1695910159.442740, 1539699406.486238]: Error (in mm): 1.76
[INFO] [1695910159.450577, 1539699406.496311]: Error (in mm): 1.76
[INFO] [1695910159.453557, 1539699406.496311]: Error (in mm): 1.75
[INFO] [1695910159.460646, 1539699406.506390]: Error (in mm): 1.75
[INFO] [1695910159.462857, 1539699406.506390]: Error (in mm): 1.75
[INFO] [1695910159.470605, 1539699406.516455]: Error (in mm): 1.76
[INFO] [1695910159.473243, 1539699406.516455]: Error (in mm): 1.76
[INFO] [1695910159.481058, 1539699406.526553]: Error (in mm): 1.76
[INFO] [1695910159.484250, 1539699406.526553]: Error (in mm): 1.76
[INFO] [1695910159.490945, 1539699406.536631]: Error (in mm): 1.76
[INFO] [1695910159.493099, 1539699406.536631]: Error (in mm): 1.76
[INFO] [1695910159.501145, 1539699406.546708]: Error (in mm): 1.76
[INFO] [1695910159.504027, 1539699406.546708]: Error (in mm): 1.76
[INFO] [1695910159.511114, 1539699406.556781]: Error (in mm): 1.76
[INFO] [1695910159.512855, 1539699406.556781]: Error (in mm): 1.76
[INFO] [1695910159.521042, 1539699406.566851]: Error (in mm): 1.76
[INFO] [1695910159.523568, 1539699406.566851]: Error (in mm): 1.76
[INFO] [1695910159.531332, 1539699406.576924]: Error (in mm): 1.76
[INFO] [1695910159.533618, 1539699406.576924]: Error (in mm): 1.76
[INFO] [1695910159.541453, 1539699406.586997]: Error (in mm): 1.76
[INFO] [1695910159.543871, 1539699406.586997]: Error (in mm): 1.76
[INFO] [1695910159.551523, 1539699406.597068]: Error (in mm): 1.76
[INFO] [1695910159.553779, 1539699406.597068]: Error (in mm): 1.76
[INFO] [1695910159.561464, 1539699406.607136]: Error (in mm): 1.76
[INFO] [1695910159.564357, 1539699406.607136]: Error (in mm): 1.76
[INFO] [1695910159.571487, 1539699406.617201]: Error (in mm): 1.76
[INFO] [1695910159.573793, 1539699406.617201]: Error (in mm): 1.76
[INFO] [1695910159.581993, 1539699406.627272]: Error (in mm): 1.76
[INFO] [1695910159.585163, 1539699406.627272]: Error (in mm): 1.76
[INFO] [1695910159.591633, 1539699406.637352]: Error (in mm): 1.76
[INFO] [1695910159.593730, 1539699406.637352]: Error (in mm): 1.76
[INFO] [1695910159.602188, 1539699406.647593]: Error (in mm): 1.76
[INFO] [1695910159.604312, 1539699406.647593]: Error (in mm): 1.74
[INFO] [1695910159.611980, 1539699406.657661]: Error (in mm): 1.74
[INFO] [1695910159.614801, 1539699406.657661]: Error (in mm): 1.74
[INFO] [1695910159.621923, 1539699406.667729]: Error (in mm): 1.75
[INFO] [1695910159.624071, 1539699406.667729]: Error (in mm): 1.75
[INFO] [1695910159.632028, 1539699406.677819]: Error (in mm): 1.75
[INFO] [1695910159.634681, 1539699406.677819]: Error (in mm): 1.75
[INFO] [1695910159.642143, 1539699406.687897]: Error (in mm): 1.76
[INFO] [1695910159.644429, 1539699406.687897]: Error (in mm): 1.76
[INFO] [1695910159.652335, 1539699406.697975]: Error (in mm): 1.76
[INFO] [1695910159.654404, 1539699406.697975]: Error (in mm): 1.76
[INFO] [1695910159.662408, 1539699406.708053]: Error (in mm): 1.76
[INFO] [1695910159.665533, 1539699406.708053]: Error (in mm): 1.76
[INFO] [1695910159.672490, 1539699406.718121]: Error (in mm): 1.76
[INFO] [1695910159.675156, 1539699406.718121]: Error (in mm): 1.76
[INFO] [1695910159.682582, 1539699406.728207]: Error (in mm): 1.76
[INFO] [1695910159.684870, 1539699406.728207]: Error (in mm): 1.76
